"","Sample_names","Tree_name","Sample_id","Hauteur","Neg_Control","Numéro.photo","Category","Id_terrain","Id_echantillons","date_releve_diam","Diametre","Remarque","Time","Time_fac"
"DJ2-008-B_S87_MERGED.fastq.gz","DJ2-008-B_S87","DJ2-008",87,"B",FALSE,"110","Sains","DJ2-008","DJ2-008","21/08/2012","76,4","",0,"0"
"DJ2-008-H_S88_MERGED.fastq.gz","DJ2-008-H_S88","DJ2-008",88,"H",FALSE,"110","Sains","DJ2-008","DJ2-008","21/08/2012","76,4","",0,"0"
"DJ2-008-M_S89_MERGED.fastq.gz","DJ2-008-M_S89","DJ2-008",89,"M",FALSE,"110","Sains","DJ2-008","DJ2-008","21/08/2012","76,4","",0,"0"
"DP4-ABM001_S90_MERGED.fastq.gz","DP4-ABM001_S90","DP4abm001",90,NA,FALSE,"109","Chablis T+15","DP4abm001","DP4abm001","22/03/2000","60","",15,"15"
"DS1-ABM002-B_S91_MERGED.fastq.gz","DS1-ABM002-B_S91","DS1abm002",91,"B",FALSE,"115","Chablis T+15","DS1abm002","DS1abm002","22/03/2000","25","",15,"15"
"DS1-ABM002-H_S92_MERGED.fastq.gz","DS1-ABM002-H_S92","DS1abm002",92,"H",FALSE,"115","Chablis T+15","DS1abm002","DS1abm002","22/03/2000","25","",15,"15"
"DS1-ABM002-M_S93_MERGED.fastq.gz","DS1-ABM002-M_S93","DS1abm002",93,"M",FALSE,"115","Chablis T+15","DS1abm002","DS1abm002","22/03/2000","25","",15,"15"
"DU3-045-B_S94_MERGED.fastq.gz","DU3-045-B_S94","DU3-045",94,"B",FALSE,"107","Chandelier T+15","DU3-045","DU3-045","07/06/2007","38","",15,"15"
"DW4-007_S95_MERGED.fastq.gz","DW4-007_S95","DW4-007",95,NA,FALSE,"102","Chandelier T+10","DW4-007","DW4-007","06/07/2011","34"," Présence de Fomes fomentarius et Pleurotus sp.",10,"10"
"DY5-004-B_S96_MERGED.fastq.gz","DY5-004-B_S96","DY5-004",96,"B",FALSE,"101","Sains","DY5-004","DY5-004","20/06/2017","60,4","",0,"0"
"DY5-004-H_S97_MERGED.fastq.gz","DY5-004-H_S97","DY5-004",97,"H",FALSE,"101","Sains","DY5-004","DY5-004","20/06/2017","60,4","",0,"0"
"DY5-004-M_S98_MERGED.fastq.gz","DY5-004-M_S98","DY5-004",98,"M",FALSE,"101","Sains","DY5-004","DY5-004","20/06/2017","60,4","",0,"0"
"DZ6-ABM-001_S99_MERGED.fastq.gz","DZ6-ABM-001_S99","DZ6abm001",99,NA,FALSE,"99","Chablis T+15","DZ6abm001","DZ6abm001","22/03/2000","35","",15,"15"
"E9-009-B_S100_MERGED.fastq.gz","E9-009-B_S100","E9-009",100,"B",FALSE,"73","Stressés","E9-009","E9-009","07/06/2012","29,5","",0,"0"
"E9-009-H_S101_MERGED.fastq.gz","E9-009-H_S101","E9-009",101,"H",FALSE,"73","Stressés","E9-009","E9-009","07/06/2012","29,5","",0,"0"
"E9-009-M_S102_MERGED.fastq.gz","E9-009-M_S102","E9-009",102,"M",FALSE,"73","Stressés","E9-009","E9-009","07/06/2012","29,5","",0,"0"
"EA5-ABM-001_S103_MERGED.fastq.gz","EA5-ABM-001_S103","EAabm001",103,NA,FALSE,"104","Chablis T+15","EAabm001","EAabm001","22/03/2000","25","",15,"15"
"EC2-013-B_S104_MERGED.fastq.gz","EC2-013-B_S104","EC2-013",104,"B",FALSE,"113","Chandelier T+15","EC2-013","EC2-013","07/06/2007","52","",15,"15"
"F6-ABM-001_S105_MERGED.fastq.gz","F6-ABM-001_S105","F6abm001",105,NA,FALSE,"76","Chablis T+15","F6abm001","F6abm001","22/03/2000","30","",15,"15"
"F7-015-M_S106_MERGED.fastq.gz","F7-015-M_S106","F7-015",106,"M",FALSE,"75","Chandelier T+10","F7-015","F7-015","04/11/2010","50","Présence de Fomes fomentarius",10,"10"
"FOMES19-H_S108_MERGED.fastq.gz","FOMES19-H_S108","FOMES19",108,"H",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOMES19-M_S109_MERGED.fastq.gz","FOMES19-M_S109","FOMES19",109,"M",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H10-018-M_S110_MERGED.fastq.gz","H10-018-M_S110","H10-018",110,"M",FALSE,"74","Chandelier T+15","H10-018","H10-018","26/08/2005","88,5","Souche, présence de fourmis et de mycene meliigena",15,"15"
"H24-NVABM1-H_S111_MERGED.fastq.gz","H24-NVABM1-H_S111","H24-nvabm-1",111,"H",FALSE,"122","Chablis T+5","H24-nvabm-1","H24-nvabm-1","14/06/2018","30","",5,"5"
"J18-004-B_S114_MERGED.fastq.gz","J18-004-B_S114","J18-004",114,"B",FALSE,"85","Sains","J18-004","J18-004","25/05/2012","27,6","Ne pas pooler, changement de catégorie, stressé",0,"0"
"J18-004-H_S115_MERGED.fastq.gz","J18-004-H_S115","J18-004",115,"H",FALSE,"85","Sains","J18-004","J18-004","25/05/2012","27,6","Ne pas pooler, changement de catégorie, stressé",0,"0"
"J18-004-M_S116_MERGED.fastq.gz","J18-004-M_S116","J18-004",116,"M",FALSE,"85","Sains","J18-004","J18-004","25/05/2012","27,6","Ne pas pooler, changement de catégorie, stressé",0,"0"
"K18-002-H_S117_MERGED.fastq.gz","K18-002-H_S117","K18-002",117,"H",FALSE,"86","Chandelier T+10","K18-002","K18-002","04/11/2010","33,5","",10,"10"
"K26-NVABM1_S118_MERGED.fastq.gz","K26-NVABM1_S118","K26-nvamb-1",118,NA,FALSE,"124","Chablis T+5","nvabm0247","K26-nvamb-1","04/11/2003","30","",5,"5"
"L19X-B_S119_MERGED.fastq.gz","L19X-B_S119","L19-X",119,"B",FALSE,"*","H. Bois moyen","L19-010","L19-X","09/05/2012","30","Chandelier, frcutification Hericium au sol et présence de stereum sp.",NA,NA
"L19X-H_S120_MERGED.fastq.gz","L19X-H_S120","L19-X",120,"H",FALSE,"*","H. Bois moyen","L19-010","L19-X","09/05/2012","30","Chandelier, frcutification Hericium au sol et présence de stereum sp.",NA,NA
"L19X-M_S121_MERGED.fastq.gz","L19X-M_S121","L19-X",121,"M",FALSE,"*","H. Bois moyen","L19-010","L19-X","09/05/2012","30","Chandelier, frcutification Hericium au sol et présence de stereum sp.",NA,NA
"L23-002-B_S122_MERGED.fastq.gz","L23-002-B_S122","L23-002",122,"B",FALSE,"96","Chandelier T+10","L23-002","L23-002","09/05/2012","40,5","bois rouge point b + carrie point m",10,"10"
"L23-002-H_S123_MERGED.fastq.gz","L23-002-H_S123","L23-002",123,"H",FALSE,"96","Chandelier T+10","L23-002","L23-002","09/05/2012","40,5","bois rouge point b + carrie point m",10,"10"
"L23-002-M_S124_MERGED.fastq.gz","L23-002-M_S124","L23-002",124,"M",FALSE,"96","Chandelier T+10","L23-002","L23-002","09/05/2012","40,5","bois rouge point b + carrie point m",10,"10"
"M22-001_S125_MERGED.fastq.gz","M22-001_S125","M22-001",125,NA,FALSE,"95","Stressés","M22-001","M22-001","22/03/2000","34","",0,"0"
"N19X-B_S126_MERGED.fastq.gz","N19X-B_S126","N19-X",126,"B",FALSE,"*","H. Bois moyen","N19-002","N19-X","22/03/2000","33,5"," Stressé et fructification Hericium haute",NA,NA
"N19X-H_S127_MERGED.fastq.gz","N19X-H_S127","N19-X",127,"H",FALSE,"*","H. Bois moyen","N19-002","N19-X","22/03/2000","33,5"," Stressé et fructification Hericium haute",NA,NA
"N19X-M_S128_MERGED.fastq.gz","N19X-M_S128","N19-X",128,"M",FALSE,"*","H. Bois moyen","N19-002","N19-X","22/03/2000","33,5"," Stressé et fructification Hericium haute",NA,NA
"N22-001-B_S129_MERGED.fastq.gz","N22-001-B_S129","M22-001",129,"B",FALSE,"95","Stressés","M22-001","M22-001","22/03/2000","34","",0,"0"
"N23-002-B_S130_MERGED.fastq.gz","N23-002-B_S130","N23-002",130,"B",FALSE,"94","Chandelier T+15","N23-002","N23-002","22/03/2000","21,5","",15,"15"
"N23-002-H_S131_MERGED.fastq.gz","N23-002-H_S131","N23-002",131,"H",FALSE,"94","Chandelier T+15","N23-002","N23-002","22/03/2000","21,5","",15,"15"
"N23-002-M_S132_MERGED.fastq.gz","N23-002-M_S132","N23-002",132,"M",FALSE,"94","Chandelier T+15","N23-002","N23-002","22/03/2000","21,5","",15,"15"
"N25-ABMX_S133_MERGED.fastq.gz","N25-ABMX_S133","N25-abm-X",133,NA,FALSE,"125","Chablis T+5","N24-abm679","N25-abm-X","26/05/2015 10:33:11","20","Carrie pb",5,"5"
"NVABM-0058_S134_MERGED.fastq.gz","NVABM-0058_S134","nvabm0058",134,NA,FALSE,"97","Chablis T+10","nvabm0058","nvabm0058","20/10/2004","30","",10,"10"
"NVABM-0163-H_S135_MERGED.fastq.gz","NVABM-0163-H_S135","nvabm0163",135,"H",FALSE,"100","Chablis T+10","nvabm0163","nvabm0163","20/10/2004","40","",10,"10"
"NVABM-0397_S138_MERGED.fastq.gz","NVABM-0397_S138","nvabm0397",138,NA,FALSE,"54","Chablis T+10","nvabm0397","nvabm0397","07/01/2004","35","",10,"10"
"NVABM0216_S136_MERGED.fastq.gz","NVABM0216_S136","nvabm0216",136,NA,FALSE,"34","Chablis T+15","nvabm0216","nvabm0216","22/08/2001","30","",15,"15"
"NVABM0244-M_S137_MERGED.fastq.gz","NVABM0244-M_S137","nvabm0244",137,"M",FALSE,"28","Chablis T+10","nvabm0244","nvabm0244","04/11/2003","50","",10,"10"
"O20-X-B_S139_MERGED.fastq.gz","O20-X-B_S139","O20-X",139,"B",FALSE,NA,"H. Petit bois",NA,NA,NA,NA,"Arbre à Hericium clathroides",NA,NA
"O20-X-H_S140_MERGED.fastq.gz","O20-X-H_S140","O20-X",140,"H",FALSE,NA,"H. Petit bois",NA,NA,NA,NA,"Arbre à Hericium clathroides",NA,NA
"O20-X-M_S141_MERGED.fastq.gz","O20-X-M_S141","O20-X",141,"M",FALSE,NA,"H. Petit bois",NA,NA,NA,NA,"Arbre à Hericium clathroides",NA,NA
"O21-007-B_S142_MERGED.fastq.gz","O21-007-B_S142","O21-007",142,"B",FALSE,"106","Stressés","O21-007","O21-007","04/05/2012","25","",0,"0"
"O21-007-H_S143_MERGED.fastq.gz","O21-007-H_S143","O21-007",143,"H",FALSE,"106","Stressés","O21-007","O21-007","04/05/2012","25","",0,"0"
"O21-007-M_S144_MERGED.fastq.gz","O21-007-M_S144","O21-007",144,"M",FALSE,"106","Stressés","O21-007","O21-007","04/05/2012","25","",0,"0"
"O24-003-B_S145_MERGED.fastq.gz","O24-003-B_S145","O24-003",145,"B",FALSE,"30","Sains","O24-003","O24-003","02/11/2017","75","",0,"0"
"O24-003-H_S146_MERGED.fastq.gz","O24-003-H_S146","O24-003",146,"H",FALSE,"30","Sains","O24-003","O24-003","02/11/2017","75","",0,"0"
"O24-003-M_S147_MERGED.fastq.gz","O24-003-M_S147","O24-003",147,"M",FALSE,"30","Sains","O24-003","O24-003","02/11/2017","75","",0,"0"
"O26-004-B_S148_MERGED.fastq.gz","O26-004-B_S148","O26-004",148,"B",FALSE,"27","Sains","O26-004","O26-004","22/03/2000","30,4","",0,"0"
"O26-004-H_S149_MERGED.fastq.gz","O26-004-H_S149","O26-004",149,"H",FALSE,"27","Sains","O26-004","O26-004","22/03/2000","30,4","",0,"0"
"O26-004-M_S150_MERGED.fastq.gz","O26-004-M_S150","O26-004",150,"M",FALSE,"27","Sains","O26-004","O26-004","22/03/2000","30,4","",0,"0"
